Subscriber,Region,TENURE_Days,l4_ul_throughput,l4_dl_throughput
10003277,2,4896,43041,186002
10057763,2,4896,3273753,150072609
12799850,3,4595,31541012,310484910
13681672,3,4501,19879520,144279919
13884442,2,4484,13029479,21743080
14034345,3,4812,2929802,22477115
15101936,1,4807,5865,21305
15236133,1,4807,1565795,21666403
15338568,3,4807,11281789,29367934
15401126,3,4807,,50854055
16330533,3,4417,2637190,7581098
17281521,3,4368,4686427,29835091
17563305,3,4355,2221617,16662534
18818924,,4316,1796992,14444697
19912682,3,1235,16534022,237360574
21228530,1,4303,3756898,31921603
21477519,2,,538186,1357090
24957800,3,4255,13943865,63202061
28357866,3,4074,3487894,32219986
30156701,3,3988,14701251,136946791
31834904,3,3904,1680137,24445933
31976290,3,3898,1798270,9689129
32252570,2,3888,8857689,222017052
34167949,3,3868,3030010,
37347400,2,3772,31601848,184586966
37766180,3,3764,2010608,23654033
42256345,1,3636,2822654,50568027
43325906,,3612,675766,2998471
47842145,1,3563,6036781,40584239
58790289,5,3434,22485535,353538987
62423955,3,3404,1675093,24240039
64805751,2,3382,1293701,14090795
65452937,3,3381,,28775890
68971479,1,3347,7366490,87238813
69179859,3,3347,8503929,109198228
69389794,3,3344,1418002,9531288
71188760,2,3329,23817381,294548733
83557877,1,3160,5147993,29091533
93462226,5,3079,1167748,16913142
94791964,2,,33981631,124248326
95038640,3,3069,19551898,277408415
96362076,,3062,2813093,50442702
104061393,3,1900,1014474,8023971
105380057,3,1880,5522590,42181917
106126863,3,1825,4114899,28899569
111908303,3,1709,921499,6782242
113602400,1,1756,5782436,75685429
115626313,1,1738,3093945,50925318
121854570,3,1824,6433285,44056265
121854823,3,1860,8496802,50903917
125802926,3,1816,40799736,476783830
127375587,2,1742,662459,4252545
129063394,3,1700,5863780,62146903
130029007,3,1700,37222811,439531373
130211552,3,1704,8506509,50510846
136504792,2,1702,5156736,36209169
137731781,3,1694,7407542,103132273
138211329,1,1704,4509669,27499257
148970561,3,1737,5068244,30407597
151064281,2,1716,857668,10221902
155073573,,1708,8273379,43417987
158725576,3,1638,10868877,117629982
159631139,1,1661,2026814,5560555
160060490,3,1661,17607829,172728104
160222497,3,1634,9439219,152400018
161721240,3,1616,145023,206656
162927167,2,1637,7778560,68425445
165310371,1,1632,13709308,99161732
167614975,1,1605,1763826,9514610
173296819,1,1523,2839956,24042807
174858548,1,1556,2446292,21957861
179420962,2,1551,1505213,1659073
180304240,3,1574,21263334,301572866
180400071,3,1431,3805902,88326394
180820090,1,1537,10159995,113022504
184111077,3,1555,11126223,129362958
184971277,1,1576,16493026,144260308
187142127,3,1601,4714059,21312956
193410975,2,1536,397018,938200
198818725,1,1479,1161544,11158315
202397135,,2753,2371759,23208116
203393865,2,2573,5518778,74979923
203768687,3,2713,32110352,452483318
205497887,3,2651,2359394,15256684
213940445,2,2690,59922226,250774117
220143370,2,2395,6369790,99136846
222325706,1,2730,3628192,7937654
222352023,1,2678,13298622,39214025
222576587,5,2525,712199,9058260
225235811,5,2428,24168207,246171805
230427323,2,2549,1376543,13183842
230682661,3,2613,4933850,31781712
230765610,3,2651,3744201,22969708
231381253,1,2642,2870697,19908569
232335561,4,2620,1583908,11230258
233432258,2,2566,2732173,16714026
235133014,3,2532,3452666,49877642
240010534,,2578,3928183,27269619
250771001,3,2383,10961950,70878745
254697980,3,2432,7414967,63097335
254746766,3,2271,31529699,210904473
255221207,3,2309,1639964,35292340
258667058,2,2356,1564927,8870624
259487459,3,2202,10581251,20536813
265345420,3,2334,4607095,34923569
268854375,2,2355,17291683,206193386
276065209,3,2323,19196816,73176794
285219791,3,2203,29443094,263041422
292847857,1,2222,10983275,144466565
